,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
39,1686355200000,26477.80000000,26487.26000000,26460.68000000,26471.24000000,335.88942000,1686356999999,8893311.37911370,10933,191.61247000,5073423.34027880,0
40,1686357000000,26471.24000000,26486.89000000,26450.00000000,26459.99000000,329.41017000,1686358799999,8719750.62690140,10662,103.11334000,2729155.70789590,0
41,1686358800000,26459.99000000,26533.87000000,26400.00000000,26480.74000000,703.31128000,1686360599999,18611675.37008360,19079,292.16477000,7733584.05889110,0
42,1686360600000,26480.75000000,26496.10000000,26311.31000000,26396.93000000,844.51821000,1686362399999,22298783.20404650,28579,376.91669000,9952648.08531660,0
43,1686362400000,26396.94000000,26437.08000000,26381.11000000,26427.90000000,445.43389000,1686364199999,11763104.05799830,15951,227.40735000,6005215.76942380,0
44,1686364200000,26427.90000000,26427.91000000,26280.00000000,26326.92000000,1108.91530000,1686365999999,29222713.12086700,34462,474.57526000,12506060.13393520,0
45,1686366000000,26326.93000000,26364.67000000,26307.81000000,26328.41000000,602.63766000,1686367799999,15873420.98107720,19676,279.87724000,7371870.57108920,0
46,1686367800000,26328.41000000,26365.74000000,26266.00000000,26323.07000000,651.54386000,1686369599999,17151976.67397800,25662,322.09098000,8479488.76936100,0
47,1686369600000,26323.07000000,26349.17000000,25744.97000000,25853.92000000,5629.88014000,1686371399999,146514132.41551840,113085,2579.87026000,67133305.25286170,0
48,1686371400000,25853.92000000,25960.00000000,25715.46000000,25765.28000000,4145.53249000,1686373199999,107177234.05058930,112789,1963.29305000,50752930.17577150,0
49,1686373200000,25765.29000000,25808.12000000,25504.28000000,25617.20000000,4158.23882000,1686374999999,106664201.28783230,100185,1927.00096000,49431368.67401750,0
50,1686375000000,25617.21000000,25680.00000000,25456.41000000,25518.06000000,3598.14540000,1686376799999,91961398.02829200,80912,1802.93532000,46085494.83324020,0
51,1686376800000,25518.06000000,25638.93000000,25490.00000000,25633.76000000,2605.08405000,1686378599999,66616832.97829900,60580,1285.24870000,32868230.91806070,0
52,1686378600000,25633.76000000,25633.77000000,25457.46000000,25538.81000000,2567.58675000,1686380399999,65594059.06382960,63044,1290.41543000,32964486.50942780,0
53,1686380400000,25538.81000000,25731.58000000,25493.27000000,25696.07000000,3749.92160000,1686382199999,95964496.83440460,63479,1838.21014000,47039409.91262140,0
54,1686382200000,25696.07000000,25743.80000000,25632.05000000,25651.09000000,1639.66672000,1686383999999,42119513.50092280,40696,825.40681000,21201588.71529680,0
